standard_value_min,standard_value_max,standard_value_get_all_levels,standard_value_get_mean,db_id,canonical_smiles,source,activity,chembl_sim
28000.0,28000.0,[Decimal('28000.0')],28000.0,CHEMBL4,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,chembl,inactive,
4750000.0,4750000.0,[Decimal('4750000.0')],4750000.0,CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,chembl,inactive,
10600.0,37725.5,"[Decimal('10600.0'), Decimal('37725.5')]",24162.75,CHEMBL8,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,chembl,inactive,
6000.0,12500.0,"[Decimal('6000.0'), Decimal('8100.0'), Decimal('10000.0'), Decimal('11200.0'), Decimal('12500.0')]",10433.333333333334,CHEMBL32,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,chembl,active,
50000.0,50000.0,[Decimal('50000.0')],50000.0,CHEMBL64,NNC(=O)c1ccncc1,chembl,inactive,
200000.0,200000.0,[Decimal('200000.0')],200000.0,CHEMBL590,CC1=CC(=O)c2ccccc2C1=O,chembl,inactive,
15.0,46000.0,"[Decimal('15.0'), Decimal('20.0'), Decimal('46.0'), Decimal('50.0'), Decimal('85.0'), Decimal('46000.0')]",4222.363636363636,CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,chembl,active,
156000.0,156000.0,[Decimal('156000.0')],156000.0,CHEMBL826,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,chembl,inactive,
15100.0,15100.0,[Decimal('15100.0')],15100.0,CHEMBL48931,O=S(=O)(Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1)c1ccccc1,chembl,inactive,
32600.0,32600.0,[Decimal('32600.0')],32600.0,CHEMBL49272,O=C(Nc1ccccc1)Nc1ccc(Nc2c3ccccc3nc3ccccc23)cc1,chembl,inactive,
30000.0,30000.0,[Decimal('30000.0')],30000.0,CHEMBL430853,Cc1cc(O)c2c(c1)C(=O)C=CC2=O,chembl,inactive,
50000.0,50000.0,[Decimal('50000.0')],50000.0,CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,chembl,inactive,
15000.0,15000.0,[Decimal('15000.0')],15000.0,CHEMBL242550,Cc1cc(O)c2c(c1)C(=O)C(c1c(C)cc3c(c1O)C(=O)C=CC3=O)=CC2=O,chembl,inactive,
50000.0,50000.0,[Decimal('50000.0')],50000.0,CHEMBL241392,Cc1cc(O)c2c(c1)C(=O)C=C(c1c(C)cc(O)c3c1C(=O)C=CC3=O)C2=O,chembl,inactive,
11300.0,11300.0,[Decimal('11300.0')],11300.0,CHEMBL531018,Nc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(N)cc6)nc5c4)ccc3[nH]2)cc1,chembl,inactive,
100000.0,100000.0,[Decimal('100000.0')],100000.0,CHEMBL1992900,Cc1cc2c(c(O)c1-c1c(C)cc(O)c3c1C(=O)C=CC3=O)C(=O)C=CC2=O,chembl,inactive,
1050.0,1050.0,[Decimal('1050.0')],1050.0,CHEMBL2165062,N#Cc1ccc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2c1,chembl,active,
27100.0,27100.0,[Decimal('27100.0')],27100.0,CHEMBL3085863,CCOC(=O)c1sc(-c2ccccc2)nc1N1CCC(NCc2ccc(F)cc2)CC1,chembl,inactive,
30.0,30.0,[Decimal('30.0')],30.0,CHEMBL3114205,CCNC(=O)Nc1nc2cc(-c3ccn(CC)c(=O)c3)c(=O)n(C(C)C)c2s1,chembl,active,
51.0,51.0,[Decimal('51.0')],51.0,CHEMBL3114216,CCNC(=O)Nc1nc2cc(-c3cccnc3)c(=O)n(C(C)C)c2s1,chembl,active,
150.0,150.0,[Decimal('150.0')],150.0,CHEMBL3290336,COc1ccc2ccc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2n1,chembl,active,
110.0,110.0,[Decimal('110.0')],110.0,CHEMBL3290337,N#Cc1ccc2ccc(=O)n(CCN3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1,chembl,active,
100000.0,100000.0,[Decimal('100000.0')],100000.0,CHEMBL3290338,Cc1nc(CNC2CCN(CCn3c(=O)ccc4ccc(C#N)cc43)CC2)ccc1C#N,chembl,inactive,
250.0,250.0,[Decimal('250.0')],250.0,CHEMBL3290339,Cc1ncc(CNC2CCN(CCn3c(=O)ccc4ccc(C#N)cc43)CC2)cc1C#N,chembl,active,
140.0,140.0,[Decimal('140.0')],140.0,CHEMBL3290341,COc1cnc2ccc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1,chembl,active,
65.0,65.0,[Decimal('65.0')],65.0,CHEMBL3286436,COc1cc(C#N)c2ccc(=O)n(CCN3CCC(NCc4cnc(C)c(C#N)c4)CC3)c2c1,chembl,active,
250.0,250.0,[Decimal('250.0')],250.0,CHEMBL3290351,COc1cnc2ccc(=O)n(CCN3CC[C@@H](NCc4cnc(C)c(C#N)c4)[C@@H](F)C3)c2c1,chembl,active,
350.0,350.0,[Decimal('350.0')],350.0,CHEMBL3290353,O=C1COc2ccc(CN[C@@H]3CCN(CCn4c(=O)ccc5ncc(F)cc54)C[C@@H]3F)nc2N1,chembl,active,
240.0,240.0,[Decimal('240.0')],240.0,CHEMBL3290354,O=C1COc2ccc(CN[C@H]3CCN(CCn4c(=O)ccc5ncc(F)cc54)C[C@H]3F)nc2N1,chembl,active,
170.0,170.0,[Decimal('170.0')],170.0,CHEMBL3290356,COc1cnc2ccc(=O)n(CCN3CC[C@H](NCc4ccc5c(n4)NC(=O)CO5)[C@H](F)C3)c2c1,chembl,active,
6810.0,6810.0,[Decimal('6810.0')],6810.0,CHEMBL3323154,CCOC(=O)c1cc2cc(N3CCN(C(=O)Cc4ccccc4)CC3)ccc2o1,chembl,active,
8900.0,8900.0,[Decimal('8900.0')],8900.0,CHEMBL3323155,CCOC(=O)c1cc2cc(N3CCN(C(=O)Cc4ccc(Cl)cc4)CC3)ccc2o1,chembl,active,
